,Title,Year,RuntimeMin,GenreMain,RatingAvg,Votes,Studio,GrossLifetime,Awards,Nominations
415,Anna Karenina,1914,NaN,Drama,5.6,14.0,Focus,12816367.0,1.0,4.0
902,Anna Karenina,1915,NaN,Drama,4.3,7.0,Focus,12816367.0,1.0,4.0
2124,The Patriot,1916,50,Western,7.4,8.0,Sony,113330342.0,1.0,5.0
2701,Great Expectations,1917,50,Drama,5.8,16.0,Fox,26420672.0,2.0,5.0
3306,Anna Karenina,1918,53,Drama,5.3,18.0,Focus,12816367.0,1.0,4.0
4680,Around the World in 80 Days,1919,121,Adventure,6.7,6.0,UA,42000000.0,5.0,8.0
4681,Around the World in 80 Days,1919,121,Adventure,6.7,6.0,BV,24008137.0,5.0,8.0
5279,The Last of the Mohicans,1920,73,Action,6.7,1074.0,Fox,75505856.0,1.0,1.0
7887,The Ten Commandments,1923,136,Biography,6.8,1848.0,Par.,65500000.0,1.0,7.0
7994,The Age of Innocence,1924,NaN,Drama,6.5,30.0,Col.,32255440.0,1.0,5.0
8831,Braveheart,1925,71,Western,7.0,175.0,Par.,75609945.0,5.0,10.0
9576,The Wizard of Oz,1925,81,Adventure,5.1,1380.0,MGM,22342633.0,2.0,17.0
10564,Chicago,1927,118,Comedy,7.1,360.0,Mira.,170687518.0,6.0,13.0
10809,The Jazz Singer,1927,88,Drama,6.5,8610.0,Uni.,27118000.0,1.0,1.0
11220,Underworld,1927,80,Crime,7.6,2437.0,SGem,51970690.0,1.0,1.0
12016,Tempest,1928,102,Drama,6.8,327.0,Col.,5005245.0,1.0,1.0
12198,The Aviator,1929,75,Comedy,6.9,8.0,Mira.,102610330.0,5.0,11.0
12235,The Bridge of San Luis Rey,1929,86,Drama,6.9,46.0,FL,49981.0,1.0,1.0
12732,The River,1928,84,Drama,7.2,516.0,Uni.,11489982.0,1.0,4.0
12921,Wall Street,1929,68,Drama,6.3,13.0,Fox,43848069.0,1.0,1.0
13790,The Champ,1931,86,Drama,7.3,2596.0,MGM,30441738.0,2.0,4.0
14653,Emma,1932,72,Drama,7.0,870.0,Mira.,22231658.0,1.0,2.0
14843,The Last of the Mohicans,1932,231,Action,6.2,118.0,Fox,75505856.0,1.0,1.0
